icpsr,id,name,state_abbrev,cast_code
10249,MH09410249,"WILSON, Robert Carlton (Bob)",CA,1
12004,MH09412004,"BURLISON, Bill D.",MO,1
8268,MH09408268,"SCHNEEBELI, Herman Theodore",PA,1
8549,MH09408549,"SISK, Bernice Frederic",CA,1
6240,MH09406240,"McFALL, John Joseph",CA,1
10391,MH09410391,"WRIGHT, James Claude, Jr.",TX,9
4275,MH09404275,"HÉBERT, Felix Edward",LA,9
4276,MH09404276,"HECHLER, Kenneth William",WV,9
10421,MH09410421,"YATES, Sidney Richard",IL,1
10446,MH09410446,"YOUNG, John Andrew",TX,1
10463,MH09410463,"ZABLOCKI, Clement John",WI,1
12010,MH09412010,"COUGHLIN, Robert Lawrence",PA,1
14056,MH09414056,"SYMMS, Steven Douglas",ID,1
10500,MH09410500,"ADDABBO, Joseph Patrick",NY,1
10501,MH09410501,"ANDERSON, John Bayard",IL,9
10502,MH09410502,"ASHBROOK, John Milan",OH,1
10505,MH09410505,"BELL, Alphonzo",CA,9
267,MH09400267,"ASHLEY, Thomas William Ludlow",OH,9
10510,MH09410510,"CLANCY, Donald Daniel",OH,1
10511,MH09410511,"CORMAN, James Charles",CA,1
10517,MH09410517,"FINDLEY, Paul",IL,1
10520,MH09410520,"GONZÁLEZ, Henry B.",TX,1
2329,MH09402329,"DANIELS, Dominick Vincent",NJ,1
8474,MH09408474,"SHIPLEY, George Edward",IL,1
10525,MH09410525,"HARSHA, William Howard",OH,1
10527,MH09410527,"HENDERSON, David Newton",NC,1
10528,MH09410528,"ICHORD, Richard Howard, II",MO,1
10539,MH09410539,"MOSHER, Charles Adams",OH,1
10540,MH09410540,"NEDZI, Lucien Norbert",MI,1
10545,MH09410545,"PIKE, Otis Grey",NY,1
10550,MH09410550,"ROBERTS, Herbert Ray",TX,1
6455,MH09406455,"MICHEL, Robert Henry",IL,1
10553,MH09410553,"ROUSSELOT, John Harbin",CA,9
10717,MH09410717,"DICKINSON, William Louis",AL,1
8507,MH09408507,"SIKES, Robert Lee Fulton",FL,1
10559,MH09410559,"SHRIVER, Garner E.",KS,1
14048,MH09414048,"ROSE, Charles Grandison, III",NC,1
10563,MH09410563,"STEPHENS, Robert Grier, Jr.",GA,1
10566,MH09410566,"UDALL, Morris King",AZ,1
12001,MH09412001,"ANDERSON, Glenn Malcolm",CA,9
10569,MH09410569,"ANDREWS, Mark",ND,1
10573,MH09410573,"BROWN, George Edward, Jr.",CA,1
10574,MH09410574,"BROYHILL, James Thomas",NC,1
10577,MH09410577,"BURTON, Phillip",CA,1
14051,MH09414051,"SCHROEDER, Patricia Scott",CO,1
10580,MH09410580,"CLAWSON, Delwin Morgan",CA,1
10581,MH09410581,"CLEVELAND, James Colgate",NH,1
10582,MH09410582,"DUNCAN, Robert Blackford",OR,9
10583,MH09410583,"EDWARDS, William Donlon (Don)",CA,1
10585,MH09410585,"FRASER, Donald MacKay",MN,1
10587,MH09410587,"FUQUA, Don",FL,1
10588,MH09410588,"GIBBONS, Sam Melville",FL,1
10591,MH09410591,"GREEN, William Joseph",PA,9
10595,MH09410595,"HAWKINS, Augustus Freeman (Gus)",CA,1
10596,MH09410596,"HORTON, Frank Jefferson",NY,1
10597,MH09410597,"HUTCHINSON, J. Edward",MI,1
10598,MH09410598,"JOHNSON, Albert Walter",PA,1
10599,MH09410599,"LEGGETT, Robert Louis",CA,1
10601,MH09410601,"LONG, Clarence Dickinson",MD,1
10602,MH09410602,"LONG, Gillis William",LA,1
12007,MH09412007,"CHAPPELL, William Venroe, Jr.",FL,9
10605,MH09410605,"MATSUNAGA, Spark Masayuki",HI,9
10606,MH09410606,"McCLORY, Robert",IL,1
10607,MH09410607,"McDADE, Joseph Michael",PA,9
10609,MH09410609,"MINISH, Joseph George",NJ,1
10611,MH09410611,"MURPHY, John Michael",NY,1
8564,MH09408564,"SLACK, John Mark, Jr.",WV,1
10613,MH09410613,"PATTEN, Edward James",NJ,1
10614,MH09410614,"PICKLE, James Jarrell (Jake)",TX,1
14057,MH09414057,"TAYLOR, Gene",MO,1
10616,MH09410616,"QUILLEN, James Henry",TN,1
10620,MH09410620,"ROONEY, Frederick Bernard",PA,1
10621,MH09410621,"ROYBAL, Edward R.",CA,1
10625,MH09410625,"SKUBITZ, Joe",KS,1
10626,MH09410626,"SNYDER, Marion Gene",KY,1
6532,MH09406532,"MILLS, Wilbur Daigh",AR,1
10631,MH09410631,"TALCOTT, Burt Lacklen",CA,9
10633,MH09410633,"VAN DEERLIN, Lionel",CA,1
10638,MH09410638,"WYDLER, John Waldemar",NY,1
12013,MH09412013,"FISH, Hamilton, Jr.",NY,1
10640,MH09410640,"WILSON, Charles Herbert",CA,9
14062,MH09414062,"WILSON, Charles",TX,1
14063,MH09414063,"YOUNG, Andrew Jackson, Jr.",GA,1
2476,MH09402476,"DELANEY, James Joseph",NY,1
14067,MH09414067,"BOGGS, Corinne Claiborne (Lindy)",LA,9
6584,MH09406584,"MOLLOHAN, Robert Homer",WV,1
12023,MH09412023,"MANN, James Robert",SC,1
10700,MH09410700,"ADAMS, Brockman (Brock)",WA,1
10703,MH09410703,"ANNUNZIO, Frank",IL,1
10705,MH09410705,"BINGHAM, Jonathan Brewster",NY,1
10706,MH09410706,"BUCHANAN, John Hall, Jr.",AL,1
10710,MH09410710,"CARTER, Tim Lee",KY,1
10712,MH09410712,"CONABLE, Barber Benjamin, Jr.",NY,1
10713,MH09410713,"CONYERS, John, Jr.",MI,1
10716,MH09410716,"de la GARZA, Eligio, II (Kika)",TX,1
2525,MH09402525,"DERWINSKI, Edward Joseph",IL,1
